date,hour,load
2/7/2010,19,799.61
2/7/2010,20,795.73
2/7/2010,21,786.62
2/7/2010,22,770.41
2/7/2010,23,731
2/7/2010,24,686.42
2/8/2010,1,654.61
2/8/2010,2,639.32
2/8/2010,3,614.29
2/8/2010,4,607.11
2/8/2010,5,614.61
2/8/2010,6,642.26
2/8/2010,7,673.47
2/8/2010,8,812.91
2/8/2010,9,953.1
2/8/2010,10,1046.7
2/8/2010,11,1082.24
2/8/2010,12,1090.91
2/8/2010,13,1086.25
2/8/2010,14,1077.68
2/8/2010,15,1073.18
2/8/2010,16,1044.94
2/8/2010,17,966.64
2/8/2010,18,880.43
2/8/2010,19,931.43
2/8/2010,20,901.01
2/8/2010,21,861.17
2/8/2010,22,816.37
2/8/2010,23,768.23
2/8/2010,24,712.91
2/9/2010,1,673.81
2/9/2010,2,655.24
2/9/2010,3,646.28
2/9/2010,4,640.75
2/9/2010,5,638.27
2/9/2010,6,660.88
2/9/2010,7,683.26
2/9/2010,8,826.39
2/9/2010,9,967.5
2/9/2010,10,1062.35
2/9/2010,11,1103.01
2/9/2010,12,1110.24
2/9/2010,13,1107.73
2/9/2010,14,1115.21
2/9/2010,15,1088.87
2/9/2010,16,1056.36
2/9/2010,17,972.04
2/9/2010,18,887.85
2/9/2010,19,932.28
2/9/2010,20,902.47
2/9/2010,21,869.76
2/9/2010,22,830.86
2/9/2010,23,778.7
2/9/2010,24,724.8
2/10/2010,1,682.91
2/10/2010,2,665.02
2/10/2010,3,650.53
2/10/2010,4,640.37
2/10/2010,5,649.71
2/10/2010,6,666.53
2/10/2010,7,684.41
2/10/2010,8,825.17
2/10/2010,9,962.71
2/10/2010,10,1055.97
2/10/2010,11,1098.24
2/10/2010,12,1105.81
2/10/2010,13,1107.68
2/10/2010,14,1118.64
2/10/2010,15,1119.28
2/10/2010,16,1067.84
2/10/2010,17,987.33
2/10/2010,18,887.29
2/10/2010,19,937.08
2/10/2010,20,914.12
2/10/2010,21,876.78
2/10/2010,22,838.21
2/10/2010,23,786.01
2/10/2010,24,741.17
2/11/2010,1,700.76
2/11/2010,2,673.4
2/11/2010,3,658.33
2/11/2010,4,642.11
2/11/2010,5,641.74
2/11/2010,6,666.14
2/11/2010,7,685.19
2/11/2010,8,826.2
2/11/2010,9,965.44
2/11/2010,10,1054.24
2/11/2010,11,1078.69
2/11/2010,12,1080.99
2/11/2010,13,1076.2
2/11/2010,14,1097.01
2/11/2010,15,1061.61
2/11/2010,16,1030.72
2/11/2010,17,953.34
2/11/2010,18,883.46
2/11/2010,19,923.97
2/11/2010,20,903.67
2/11/2010,21,860.62
2/11/2010,22,821.96
2/11/2010,23,778.92
2/11/2010,24,731.01
2/12/2010,1,695.63
2/12/2010,2,669.39
2/12/2010,3,649.29
2/12/2010,4,642.56
2/12/2010,5,646.85
2/12/2010,6,663.67
2/12/2010,7,679.94
2/12/2010,8,814.68
2/12/2010,9,958.92
2/12/2010,10,1049.52
2/12/2010,11,1097.47
2/12/2010,12,1094.75
2/12/2010,13,1100.31
2/12/2010,14,1110.3
2/12/2010,15,1101.9
2/12/2010,16,1053.2
2/12/2010,17,960.27
2/12/2010,18,867.73
2/12/2010,19,929.25
2/12/2010,20,909.26
2/12/2010,21,862.87
2/12/2010,22,822.27
2/12/2010,23,776.44
2/12/2010,24,734.46
